location,Jardim de Belém
lat,38.75000
lon,-9.00000
asl,70.106
variable,Precipitation Total
unit,mm
level,sfc
resolution,hourly
aggregation,None
timestamp,Jardim de Belém Precipitation Total
20230121T2200,0.0
20230121T2300,0.0
20230122T0000,0.0
20230122T0100,0.0
20230122T0200,0.0
20230122T0300,0.0
20230122T0400,0.0
20230122T0500,0.0
20230122T0600,0.0
20230122T0700,0.0
20230122T0800,0.0
20230122T0900,0.0
20230122T1000,0.0
20230122T1100,0.0
20230122T1200,0.0
20230122T1300,0.0
20230122T1400,0.0
20230122T1500,0.0
20230122T1600,0.0
20230122T1700,0.0
20230122T1800,0.0
20230122T1900,0.0
20230122T2000,0.0
20230122T2100,0.0
20230122T2200,0.0
20230122T2300,0.0
20230123T0000,0.0
20230123T0100,0.0
20230123T0200,0.0
20230123T0300,0.0
20230123T0400,0.0
20230123T0500,0.0
20230123T0600,0.0
20230123T0700,0.0
20230123T0800,0.0
20230123T0900,0.0
20230123T1000,0.0
20230123T1100,0.0
20230123T1200,0.0
20230123T1300,0.0
20230123T1400,0.0
20230123T1500,0.0
20230123T1600,0.0
20230123T1700,0.0
20230123T1800,0.0
20230123T1900,0.0
20230123T2000,0.0
20230123T2100,0.0
20230123T2200,0.0
20230123T2300,0.0
20230124T0000,0.0
20230124T0100,0.0
20230124T0200,0.0
20230124T0300,0.0
20230124T0400,0.0
20230124T0500,0.0
20230124T0600,0.0
20230124T0700,0.0
20230124T0800,0.0
20230124T0900,0.0
20230124T1000,0.0
20230124T1100,0.0
20230124T1200,0.0
20230124T1300,0.0
20230124T1400,0.0
20230124T1500,0.0
20230124T1600,0.0
20230124T1700,0.0
20230124T1800,0.0
20230124T1900,0.0
20230124T2000,0.0
20230124T2100,0.0
20230124T2200,0.0
20230124T2300,0.0
20230125T0000,0.0
20230125T0100,0.0
20230125T0200,0.0
20230125T0300,0.0
20230125T0400,0.0
20230125T0500,0.0
20230125T0600,0.0
20230125T0700,0.0
20230125T0800,0.0
20230125T0900,0.0
20230125T1000,0.0
20230125T1100,0.0
20230125T1200,0.0
20230125T1300,0.0
20230125T1400,0.0
20230125T1500,0.0
20230125T1600,0.0
20230125T1700,0.0
20230125T1800,0.0
20230125T1900,0.0
20230125T2000,0.0
20230125T2100,0.0
20230125T2200,0.0
20230125T2300,0.0
20230126T0000,0.0
20230126T0100,0.0
20230126T0200,0.0
20230126T0300,0.0
20230126T0400,0.0
20230126T0500,0.0
20230126T0600,0.0
20230126T0700,0.0
20230126T0800,0.0
20230126T0900,0.0
20230126T1000,0.0
20230126T1100,0.0
20230126T1200,0.0
20230126T1300,0.0
20230126T1400,0.0
20230126T1500,0.0
20230126T1600,0.0
20230126T1700,0.0
20230126T1800,0.4
20230126T1900,0.0
20230126T2000,0.0
20230126T2100,0.0
20230126T2200,0.0
20230126T2300,0.0
20230127T0000,0.0
20230127T0100,0.0
20230127T0200,0.0
20230127T0300,0.0
20230127T0400,0.0
20230127T0500,0.0
20230127T0600,0.0
20230127T0700,0.0
20230127T0800,0.0
20230127T0900,0.0
20230127T1000,0.0
20230127T1100,0.0
20230127T1200,0.0
20230127T1300,0.0
20230127T1400,0.0
20230127T1500,0.0
20230127T1600,0.0
20230127T1700,0.0
20230127T1800,0.0
20230127T1900,0.0
20230127T2000,0.0
20230127T2100,0.0
20230127T2200,0.0
20230127T2300,0.0
20230128T0000,0.0
20230128T0100,0.0
20230128T0200,0.0
20230128T0300,0.0
20230128T0400,0.0
20230128T0500,0.0
20230128T0600,0.0
20230128T0700,0.0
20230128T0800,0.0
20230128T0900,0.0
20230128T1000,0.0
20230128T1100,0.0
20230128T1200,0.0
20230128T1300,0.0
20230128T1400,0.0
20230128T1500,0.0
20230128T1600,0.0
20230128T1700,0.0
20230128T1800,0.0
20230128T1900,0.0
20230128T2000,0.0
20230128T2100,0.0
20230128T2200,0.0
20230128T2300,0.0
20230129T0000,0.0
20230129T0100,0.0
20230129T0200,0.0
20230129T0300,0.0
20230129T0400,0.0
20230129T0500,0.0
20230129T0600,0.0
20230129T0700,0.0
20230129T0800,0.0
20230129T0900,0.0
20230129T1000,0.0
20230129T1100,0.0
20230129T1200,0.0
20230129T1300,0.0
20230129T1400,0.0
20230129T1500,0.0
20230129T1600,0.0
20230129T1700,0.0
20230129T1800,0.0
20230129T1900,0.0
20230129T2000,0.0
20230129T2100,0.0
20230129T2200,0.0
20230129T2300,0.0
20230130T0000,0.0
20230130T0100,0.0
20230130T0200,0.0
